date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:43:48	64299/64299	---M--	200	added ('OK')	image/jpeg	etag:%22fb2b-68f67362-fc67c4790d42d5c0;;;%22	https://privacy-melmaia.sbs/images/fotomelmaia1.jpg	C:/Meus%20Sites/priv%20melmaia/privacy-melmaia.sbs/images/fotomelmaia1.jpg	(from https://privacy-melmaia.sbs/?fbclid=IwY2xjawNjn4tleHRuA2FlbQIxMABicmlkETFUVTEweFBvZnlpNGd1V1dTAR75f8mPUZz3k1zhouwg6LDnD5ZLFfToySI2JTdcjvuk5Yys4gdA6TIR48KS2w_aem_Z1V-2leBb4AmBc_JPVnBBQ)
20:43:48	141258/141258	---M--	200	added ('OK')	image/jpeg	etag:%22227ca-68f67362-4652305adc14142a;;;%22	https://privacy-melmaia.sbs/images/fotomelmaia3.jpg	C:/Meus%20Sites/priv%20melmaia/privacy-melmaia.sbs/images/fotomelmaia3.jpg	(from https://privacy-melmaia.sbs/?fbclid=IwY2xjawNjn4tleHRuA2FlbQIxMABicmlkETFUVTEweFBvZnlpNGd1V1dTAR75f8mPUZz3k1zhouwg6LDnD5ZLFfToySI2JTdcjvuk5Yys4gdA6TIR48KS2w_aem_Z1V-2leBb4AmBc_JPVnBBQ)
20:43:50	749794/749794	---M--	200	added ('OK')	image/jpeg	etag:%22b70e2-68f67362-2dc1859fe6f76c0d;;;%22	https://privacy-melmaia.sbs/images/bannermelmaia3.jpg	C:/Meus%20Sites/priv%20melmaia/privacy-melmaia.sbs/images/bannermelmaia3.jpg	(from https://privacy-melmaia.sbs/?fbclid=IwY2xjawNjn4tleHRuA2FlbQIxMABicmlkETFUVTEweFBvZnlpNGd1V1dTAR75f8mPUZz3k1zhouwg6LDnD5ZLFfToySI2JTdcjvuk5Yys4gdA6TIR48KS2w_aem_Z1V-2leBb4AmBc_JPVnBBQ)
20:43:50	338837/338837	---M--	200	added ('OK')	video/mp4	etag:%2252b95-68f67363-abd7bdc20cce9970;;;%22	https://privacy-melmaia.sbs/media/videomelmaia03.mp4	C:/Meus%20Sites/priv%20melmaia/privacy-melmaia.sbs/media/videomelmaia03.mp4	(from https://privacy-melmaia.sbs/?fbclid=IwY2xjawNjn4tleHRuA2FlbQIxMABicmlkETFUVTEweFBvZnlpNGd1V1dTAR75f8mPUZz3k1zhouwg6LDnD5ZLFfToySI2JTdcjvuk5Yys4gdA6TIR48KS2w_aem_Z1V-2leBb4AmBc_JPVnBBQ)
20:43:51	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-9da35bb14d64aab6;gz%22	https://privacy-melmaia.sbs/cdn.jsdelivr.net/npm/js-sha256/src/sha256.min.html	C:/Meus%20Sites/priv%20melmaia/privacy-melmaia.sbs/cdn.jsdelivr.net/npm/js-sha256/src/sha256.min.html	(from https://privacy-melmaia.sbs/js/pixel.js)
20:43:51	516603/516603	---M--	200	added ('OK')	video/mp4	etag:%227e1fb-68f67363-cd0ed58110aa9bcd;;;%22	https://privacy-melmaia.sbs/media/videomelmaia02.mp4	C:/Meus%20Sites/priv%20melmaia/privacy-melmaia.sbs/media/videomelmaia02.mp4	(from https://privacy-melmaia.sbs/?fbclid=IwY2xjawNjn4tleHRuA2FlbQIxMABicmlkETFUVTEweFBvZnlpNGd1V1dTAR75f8mPUZz3k1zhouwg6LDnD5ZLFfToySI2JTdcjvuk5Yys4gdA6TIR48KS2w_aem_Z1V-2leBb4AmBc_JPVnBBQ)
20:43:51	4511/4511	---M-Z	200	added ('OK')	text/html	etag:%22119f-68f67362-60b3830146ae029d;gz%22	https://privacy-melmaia.sbs/wa.html	C:/Meus%20Sites/priv%20melmaia/privacy-melmaia.sbs/wa.html	(from https://privacy-melmaia.sbs/js/latest_1.js)
20:43:52	4511/4511	---M-Z	200	added ('OK')	text/html	etag:%22119f-68f67362-59713bd8cc122a4a;gz%22	https://privacy-melmaia.sbs/wa-2.html	C:/Meus%20Sites/priv%20melmaia/privacy-melmaia.sbs/wa-2.html	(from https://privacy-melmaia.sbs/js/latest.js)
20:43:52	60/60	---M--	200	added ('OK')	text/css	etag:%223c-68f67362-c74ea0847a859241;;;%22	https://privacy-melmaia.sbs/css/litespeed-dummy.css	C:/Meus%20Sites/priv%20melmaia/privacy-melmaia.sbs/css/litespeed-dummy.css	(from https://privacy-melmaia.sbs/5022-images-favicon.html)
20:43:53	16449/16449	---M-Z	200	added ('OK')	text/css	etag:%224041-68f67362-1356dc927c9af17b;gz%22	https://privacy-melmaia.sbs/css/style.min.css	C:/Meus%20Sites/priv%20melmaia/privacy-melmaia.sbs/css/style.min.css	(from https://privacy-melmaia.sbs/5022-images-favicon.html)
20:43:53	2503/2503	---M-Z	200	added ('OK')	text/css	etag:%229c7-68f67362-2913285778cb574c;gz%22	https://privacy-melmaia.sbs/css/style.css	C:/Meus%20Sites/priv%20melmaia/privacy-melmaia.sbs/css/style.css	(from https://privacy-melmaia.sbs/5022-images-favicon.html)
20:43:54	3358/3358	---M-Z	200	added ('OK')	application/x-javascript	etag:%22d1e-68f67362-bd22118f335d7b2f;gz%22	https://privacy-melmaia.sbs/js/view.min.js	C:/Meus%20Sites/priv%20melmaia/privacy-melmaia.sbs/js/view.min.js	(from https://privacy-melmaia.sbs/5022-images-favicon.html)
20:43:54	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-9da35bb14d64aab6;gz%22	https://privacy-melmaia.sbs/conteudoexclusivo3.store/wp-includes/js/dist/script-modules/interactivity/index.min1c7d.js?ver=55aebb6e0a16726baffb	C:/Meus%20Sites/priv%20melmaia/privacy-melmaia.sbs/conteudoexclusivo3.store/wp-includes/js/dist/script-modules/interactivity/index.min1c7d1c7d.js	(from https://privacy-melmaia.sbs/5022-images-favicon.html)
20:43:55	53600/53600	---M--	200	added ('OK')	font/woff2	etag:%22d160-68f67362-82255379675e0197;;;%22	https://privacy-melmaia.sbs/fonts/Manrope-VariableFont_wght.woff2	C:/Meus%20Sites/priv%20melmaia/privacy-melmaia.sbs/fonts/Manrope-VariableFont_wght.woff2	(from https://privacy-melmaia.sbs/5022-images-favicon.html)
20:43:55	106112/106112	---M--	200	added ('OK')	font/woff2	etag:%2219e80-68f67362-d7b7346ec3a09fcd;;;%22	https://privacy-melmaia.sbs/fonts/FiraCode-VariableFont_wght.woff2	C:/Meus%20Sites/priv%20melmaia/privacy-melmaia.sbs/fonts/FiraCode-VariableFont_wght.woff2	(from https://privacy-melmaia.sbs/5022-images-favicon.html)
20:43:56	129970/129970	---M--	200	added ('OK')	image/webp	etag:%221fbb2-68f67362-cf17f7cbc4e42ffe;;;%22	https://privacy-melmaia.sbs/images/404-image.webp	C:/Meus%20Sites/priv%20melmaia/privacy-melmaia.sbs/images/404-image.webp	(from https://privacy-melmaia.sbs/5022-images-favicon.html)
20:43:57	121200/121200	---MCZ	200	added ('OK')	text/css	etag:W/%22ec3bb52a00e176a7181d454dffaea219%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	C:/Meus%20Sites/priv%20melmaia/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	(from https://privacy-melmaia.sbs/wa.html)
20:43:58	52310/52310	---MC-	200	added ('OK')	text/javascript	date:Tue,%2015%20Jul%202025%2000:44:26%20GMT	https://www.google-analytics.com/analytics.js	C:/Meus%20Sites/priv%20melmaia/www.google-analytics.com/analytics.js	(from https://privacy-melmaia.sbs/wa.html)
20:43:59	1373144/1373144	---M-Z	200	added ('OK')	image/svg+xml	etag:%2214f3d8-68074bd6-9fe7551d9f3ba37f;gz%22	https://privacy-melmaia.sbs/htdocs_error/page_not_found.svg	C:/Meus%20Sites/priv%20melmaia/privacy-melmaia.sbs/htdocs_error/page_not_found.svg	(from https://privacy-melmaia.sbs/wa.html)
